透明标签_急涨总和=急涨：0
透明标签_急跌总和=急跌：20
透明标签_五种状态=状态：震荡偏空
透明标签_急涨急跌比值=比值：999.00 ★★★
透明标签_绿色数量=3
透明标签_百分比=10%
透明标签_计次=5
透明标签_全绿得分=全绿0% 50 5
透明标签_比价最低得分=比价最低 5 1
透明标签_仓位得分=比价创新高 0 0
透明标签_急跌数量=急跌数量 计次 25 20
透明标签_差值结果=差值：-20 ★★★
[超级列表框_首页开始]
1|BTC|-0.06|0|0|2025-12-06 01:26:45|126259.48|2025-10-07|-29.69|-3.69|||6|88461.10704|70.56%|108.73%
2|ETH|-0.17|0|0|2025-12-06 01:26:45|4954.59|2025-08-25|-39.17|-4.76|||11|3002.12254|62.16%|113.63%
3|XRP|-0.17|0|0|2025-12-06 01:26:45|3.8419|2018-01-04|-47.18|-4.64|||10|2.0213|63.36%|109.87%
4|BNB|-0.14|0|0|2025-12-06 01:26:45|1372.88|2025-10-13|-36.06|-3|||3|874.35775|63.48%|109.74%
5|SOL|-0.2|0|0|2025-12-06 01:26:45|294.91|2025-01-19|-55.31|-7.31|||20|131.26901|51.81%|106.82%
6|LTC|-0.36|0|0|2025-12-06 01:26:45|413.2|2021-05-10|-80.62|-4.37|||9|79.76479|58.84%|106.56%
7|DOGE|-0.07|0|1|2025-12-06 01:26:45|0.7402|2021-05-08|-81.29|-7.11|||18|0.13794|44.91%|104.6%
8|SUI|-0.43|0|3|2025-12-06 01:26:46|5.3537|2025-01-07|-70.78|-6.54|||15|1.55832|39.14%|118.88%
9|TRX|0.14|0|0|2025-12-06 01:26:46|0.4461|2024-12-04|-36.14|0.53|||1|0.28377|77.44%|103.81%
10|TON|0.08|0|1|2025-12-06 01:26:46|8.2833|2024-06-15|-81.31|-3.34|||4|1.54228|45.47%|106.85%
11|ETC|-0.06|0|1|2025-12-06 01:26:46|176.51|2021-05-07|-92.64|-5.71|||14|12.93917|53.2%|102.12%
12|BCH|-0.39|0|0|2025-12-06 01:26:46|4355.62|2017-12-20|-87.13|-2.62|||2|558.48873|85.81%|124.05%
13|HBAR|-0.3|0|1|2025-12-06 01:26:46|0.5758|2021-09-16|-76.8|-5.18|||12|0.13307|52.13%|107.5%
14|XLM|-0.21|0|0|2025-12-06 01:26:46|0.9381|2018-01-04|-74.13|-3.88|||8|0.24173|57.87%|110.52%
15|FIL|-0.12|0|1|2025-12-06 01:26:46|237.61|2021-04-02|-99.38|-6.6|||16|1.45982|54.95%|102.24%
16|ADA|0|0|1|2025-12-06 01:26:46|3.099|2021-09-02|-86.66|-7.45|||22|0.41176|43.16%|111.01%
17|LINK|-0.26|0|2|2025-12-06 01:26:46|52.9614|2021-05-10|-74.67|-6.77|||17|13.36399|50.68%|114.31%
18|CRO|0|0|0|2025-12-06 01:26:46|0.9732|2021-11-25|-89.4|-3.73|||7|0.10279|26.65%|110.43%
19|DOT|-0.43|0|1|2025-12-06 01:26:46|54.9467|2021-11-05|-96.14|-8.05|||27|2.11482|43.3%|106.96%
20|OKB|-0.28|0|1|2025-12-06 01:26:46|258.2|2025-08-22|-60.18|-3.58|||5|102.40423|43.48%|109.23%
21|AAVE|-0.25|0|1|2025-12-06 01:26:46|706.32|2021-05-19|-74.11|-5.43|||13|182.11831|56.44%|121.09%
22|UNI|-0.25|0|1|2025-12-06 01:26:46|45.0591|2021-05-03|-87.72|-7.7|||25|5.51207|53.15%|102.63%
23|NEAR|0.17|0|0|2025-12-06 01:26:46|20.5368|2022-01-15|-91.84|-7.42|||21|1.66928|50.22%|104.8%
24|APT|-0.69|0|1|2025-12-06 01:26:47|28|2022-10-19|-93.77|-12.15|||29|1.73772|31.63%|99.81%
25|CFX|-0.34|0|1|2025-12-06 01:26:48|1.7018|2021-03-27|-95.87|-7.52|||24|0.06993|37.23%|102.33%
26|CRV|-0.66|0|1|2025-12-06 01:26:48|70.2347|2020-08-14|-99.45|-7.25|||19|0.38607|44.74%|105.85%
27|STX|-0.28|0|0|2025-12-06 01:26:48|3.8763|2024-04-02|-92.53|-7.86|||26|0.28855|41.1%|103.69%
28|LDO|-0.42|0|2|2025-12-06 01:26:48|155.26|2021-07-01|-99.63|-10.3|||28|0.56973|42.05%|102.95%
29|TAO|-0.51|0|0|2025-12-06 01:26:48|781.87|2024-04-12|-64.84|-7.48|||23|273.83521|57.43%|107.17%
[超级列表框_首页结束]
