透明标签_急涨总和=急涨：0
透明标签_急跌总和=急跌：22
透明标签_五种状态=状态：震荡无序
透明标签_急涨急跌比值=比值：999.00 ★★★
透明标签_绿色数量=18
透明标签_百分比=62%
透明标签_计次=7
透明标签_全绿得分=全绿0% 50 7
透明标签_比价最低得分=比价最低 0 0
透明标签_仓位得分=比价创新高 0 0
透明标签_急跌数量=急跌数量 计次 25 22
透明标签_差值结果=差值：-22 ★★★
[超级列表框_首页开始]
1|BTC|-0.08|0|0|2025-12-06 05:58:39|126259.48|2025-10-07|-29.36|-3.3|||7|88846.89014|70.87%|109.2%
2|ETH|-0.12|0|0|2025-12-06 05:58:39|4954.59|2025-08-25|-39.05|-3.37|||8|3007.67042|62.27%|113.84%
3|XRP|0.09|0|0|2025-12-06 05:58:39|3.8419|2018-01-04|-47.28|-3.13|||5|2.01751|63.24%|109.66%
4|BNB|-0.01|0|0|2025-12-06 05:58:39|1372.88|2025-10-13|-35.85|-2.01|||3|877.18592|63.68%|110.09%
5|SOL|0.04|0|0|2025-12-06 05:58:39|294.91|2025-01-19|-55.13|-4.61|||14|131.8169|52.03%|107.27%
6|LTC|-0.03|0|0|2025-12-06 05:58:39|413.2|2021-05-10|-80.66|-4.51|||13|79.6|58.72%|106.34%
7|DOGE|0.21|0|1|2025-12-06 05:58:39|0.7402|2021-05-08|-81.25|-5.77|||23|0.13824|45.01%|104.83%
8|SUI|0.21|0|3|2025-12-06 05:58:40|5.3537|2025-01-07|-71.06|-5.94|||24|1.54299|38.76%|117.71%
9|TRX|0.03|0|0|2025-12-06 05:58:40|0.4461|2024-12-04|-35.98|0.21|||1|0.28446|77.63%|104.06%
10|TON|0.05|0|1|2025-12-06 05:58:40|8.2833|2024-06-15|-81.17|-1.87|||2|1.55394|45.81%|107.66%
11|ETC|0.02|0|1|2025-12-06 05:58:40|176.51|2021-05-07|-92.61|-4.97|||16|12.99375|53.43%|102.55%
12|BCH|0.19|0|0|2025-12-06 05:58:40|4355.62|2017-12-20|-87.08|-2.26|||4|560.44085|86.11%|124.48%
13|HBAR|0.07|0|1|2025-12-06 05:58:40|0.5758|2021-09-16|-76.73|-3.8|||10|0.13346|52.28%|107.81%
14|XLM|-0.21|0|0|2025-12-06 05:58:40|0.9381|2018-01-04|-74.51|-5.46|||17|0.23815|57.01%|108.88%
15|FIL|0.29|0|1|2025-12-06 05:58:40|237.61|2021-04-02|-99.38|-4.63|||15|1.46499|55.14%|102.6%
16|ADA|-0.12|0|1|2025-12-06 05:58:40|3.099|2021-09-02|-86.64|-5.67|||21|0.41227|43.22%|111.14%
17|LINK|-0.01|0|2|2025-12-06 05:58:40|52.9614|2021-05-10|-74.36|-4.09|||12|13.52385|51.28%|115.67%
18|CRO|0|0|0|2025-12-06 05:58:40|0.9732|2021-11-25|-89.41|-3.28|||6|0.10269|26.62%|110.32%
19|DOT|-0.05|0|2|2025-12-06 05:58:40|54.9467|2021-11-05|-96.14|-6.99|||26|2.11083|43.22%|106.76%
20|OKB|-0.36|0|1|2025-12-06 05:58:40|258.2|2025-08-22|-60.07|-3.84|||11|102.70282|43.61%|109.55%
21|AAVE|-0.07|0|1|2025-12-06 05:58:40|706.32|2021-05-19|-73.98|-3.46|||9|183.02394|56.72%|121.69%
22|UNI|0.02|0|1|2025-12-06 05:58:41|45.0591|2021-05-03|-87.79|-7.16|||27|5.47949|52.83%|102.03%
23|NEAR|0.08|0|0|2025-12-06 05:58:41|20.5368|2022-01-15|-91.79|-5.66|||20|1.67975|50.53%|105.46%
24|APT|0.07|0|1|2025-12-06 05:58:41|28|2022-10-19|-93.77|-9.72|||29|1.7388|31.65%|101.2%
25|CFX|0.16|0|1|2025-12-06 05:58:41|1.7018|2021-03-27|-95.86|-6.1|||25|0.0702|37.37%|102.72%
26|CRV|0.21|0|2|2025-12-06 05:58:41|70.2347|2020-08-14|-99.45|-5.64|||19|0.38338|44.43%|105.11%
27|STX|0.24|0|0|2025-12-06 05:58:41|3.8763|2024-04-02|-92.48|-5.76|||22|0.29024|41.34%|104.3%
28|LDO|0.14|0|2|2025-12-06 05:58:41|155.26|2021-07-01|-99.63|-8.67|||28|0.56973|42.05%|102.95%
29|TAO|0.04|0|0|2025-12-06 05:58:41|781.87|2024-04-12|-64.95|-5.63|||18|272.99859|57.25%|106.85%
[超级列表框_首页结束]
