透明标签_急涨总和=急涨：0
透明标签_急跌总和=急跌：22
透明标签_五种状态=状态：震荡偏空
透明标签_急涨急跌比值=比值：999.00 ★★★
透明标签_绿色数量=3
透明标签_百分比=10%
透明标签_计次=6
透明标签_全绿得分=全绿0% 50 6
透明标签_比价最低得分=比价最低 5 1
透明标签_仓位得分=比价创新高 0 0
透明标签_急跌数量=急跌数量 计次 25 22
透明标签_差值结果=差值：-22 ★★★
[超级列表框_首页开始]
1|BTC|-0.19|0|0|2025-12-06 04:38:08|126259.48|2025-10-07|-29.15|-3|||6|89087.54648|71.06%|109.5%
2|ETH|-0.37|0|0|2025-12-06 04:38:08|4954.59|2025-08-25|-38.82|-2.96|||5|3019.38451|62.51%|114.28%
3|XRP|-0.34|0|0|2025-12-06 04:38:08|3.8419|2018-01-04|-47.26|-3.25|||7|2.01841|63.27%|109.71%
4|BNB|-0.31|0|0|2025-12-06 04:38:08|1372.88|2025-10-13|-35.83|-1.93|||3|877.43521|63.7%|110.12%
5|SOL|-0.21|0|0|2025-12-06 04:38:08|294.91|2025-01-19|-55.1|-5.2|||15|131.88732|52.06%|107.33%
6|LTC|-0.31|0|0|2025-12-06 04:38:09|413.2|2021-05-10|-80.61|-4.11|||12|79.80282|58.87%|106.61%
7|DOGE|-0.21|0|1|2025-12-06 04:38:09|0.7402|2021-05-08|-81.3|-6.36|||22|0.13785|44.88%|104.53%
8|SUI|-0.43|0|3|2025-12-06 04:38:09|5.3537|2025-01-07|-70.91|-5.42|||17|1.55106|38.96%|118.33%
9|TRX|0.07|0|0|2025-12-06 04:38:09|0.4461|2024-12-04|-35.82|0.67|||1|0.28517|77.82%|104.32%
10|TON|-0.3|0|1|2025-12-06 04:38:09|8.2833|2024-06-15|-81.16|-2.2|||4|1.55424|45.82%|107.68%
11|ETC|-0.24|0|1|2025-12-06 04:38:09|176.51|2021-05-07|-92.59|-5.18|||14|13.02741|53.57%|102.81%
12|BCH|-0.21|0|0|2025-12-06 04:38:09|4355.62|2017-12-20|-87|-1.42|||2|563.92676|86.65%|125.26%
13|HBAR|-0.22|0|1|2025-12-06 04:38:09|0.5758|2021-09-16|-76.73|-4.08|||11|0.13346|52.28%|107.81%
14|XLM|-0.38|0|0|2025-12-06 04:38:09|0.9381|2018-01-04|-74.48|-5.52|||18|0.23845|57.09%|109.02%
15|FIL|-0.48|0|1|2025-12-06 04:38:09|237.61|2021-04-02|-99.38|-5.37|||16|1.45713|54.85%|102.05%
16|ADA|-0.29|0|1|2025-12-06 04:38:09|3.099|2021-09-02|-86.61|-5.88|||20|0.41325|43.32%|111.41%
17|LINK|-0.14|0|2|2025-12-06 04:38:09|52.9614|2021-05-10|-74.33|-4.46|||13|13.54368|51.36%|115.84%
18|CRO|-0.29|0|0|2025-12-06 04:38:09|0.9732|2021-11-25|-89.39|-3.55|||9|0.10289|26.67%|110.54%
19|DOT|0.01|0|2|2025-12-06 04:38:09|54.9467|2021-11-05|-96.15|-7.48|||27|2.10975|43.2%|106.7%
20|OKB|-0.53|0|1|2025-12-06 04:38:09|258.2|2025-08-22|-59.97|-3.8|||10|102.95211|43.71%|109.81%
21|AAVE|-0.52|0|1|2025-12-06 04:38:09|706.32|2021-05-19|-73.96|-3.49|||8|183.19437|56.78%|121.81%
22|UNI|-0.39|0|1|2025-12-06 04:38:10|45.0591|2021-05-03|-87.76|-7.29|||26|5.49534|52.99%|102.32%
23|NEAR|-0.52|0|0|2025-12-06 04:38:10|20.5368|2022-01-15|-91.85|-6.43|||24|1.66799|50.18%|104.72%
24|APT|0.05|0|1|2025-12-06 04:38:10|28|2022-10-19|-93.79|-10.82|||29|1.73204|31.53%|100.81%
25|CFX|-0.34|0|1|2025-12-06 04:38:10|1.7018|2021-03-27|-95.86|-6.7|||25|0.07013|37.34%|102.62%
26|CRV|-0.57|0|2|2025-12-06 04:38:10|70.2347|2020-08-14|-99.45|-6.33|||21|0.38338|44.43%|105.11%
27|STX|-0.34|0|0|2025-12-06 04:38:10|3.8763|2024-04-02|-92.47|-5.72|||19|0.29075|41.41%|104.48%
28|LDO|-0.6|0|2|2025-12-06 04:38:10|155.26|2021-07-01|-99.63|-8.92|||28|0.57183|42.2%|103.33%
29|TAO|-0.34|0|0|2025-12-06 04:38:10|781.87|2024-04-12|-65.05|-6.42|||23|272.16197|57.08%|106.52%
[超级列表框_首页结束]
